#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-11-26T00:11:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bfb3a191f9bc	
#INFO	-out.max=9999	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJ/801/3&tab:{J/ApJ/801/3/table1}&key:source=J/ApJ/801/3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/801/3/table1
#-order=I
#-out=KOI
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Prot
#-out=e_Prot
#-out=Rvar
#-out=LPH
#-out=w
#-out=D
#-out=N
#-out=C
#-out=G
#-out=T
#-out=F
#-out=R
#-out=M1
#-out=M2
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_18010003
#Name: J/ApJ/801/3
#Title: Rotation periods for Q3-Q14 KOIs (Mazeh+, 2015)
#Table	J_ApJ_801_3_table1:
#Name: J/ApJ/801/3/table1
#Title: Stellar rotational periods for the KOIs
#Column	KOI	(I4)	[1/6249] Kepler Object of Interest identifier	[ucd=meta.id;meta.main]
#Column	KIC	(I8)	Kepler Input Catalog identifier (V/133)	[ucd=meta.id]
#Column	Teff	(I5)	[3089/10949]? KIC effective temperature (1) [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	log(g)	(F6.3)	[0.03/6.1]? KIC log surface gravity (1)	[ucd=phys.gravity]
#Column	Prot	(F6.2)	[0.08/154]? Rotational period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0/73]? The 1{sigma} uncertainty in Prot	[ucd=stat.error]
#Column	Rvar	(I5)	[-9999/96819]? Amplitude of modulation (-9999 if no reliable amplitude) [NULL integer written as an empty string]	[ucd=src.var.amplitude]
#Column	LPH	(F9.6)	[0.01/1.8]? The Local Peak Height value of the autocorrelation function (ACF)	[ucd=stat.fit.param]
#Column	w	(F9.6)	[0/1]? Assigned weight (the w value); see text	[ucd=stat.weight]
#Column	D	(I1)	[0/1] "1" if Dressing & Charbonneau 2013 (J/ApJ/767/95) parameters used (1)	[ucd=meta.code]
#Column	N	(I1)	[0/1] "1" if KIC values missing, so NASA Exoplanet Archive (NEA) parameters used (1)	[ucd=meta.code]
#Column	C	(I1)	[0/1] "1" if Centroid motion shows transit and rotational modulation on different stars	[ucd=meta.code]
#Column	G	(I1)	[0/1] "1" if star is likely a giant	[ucd=meta.code]
#Column	T	(I1)	[0/1] "1" if T_eff_ outside 3500-6500K	[ucd=meta.code]
#Column	F	(I1)	[0/1] "1" if false positive (EB) identified in this work	[ucd=meta.code]
#Column	R	(I1)	[0/1] "1" if rejected by visual examination stage	[ucd=meta.code]
#Column	M1	(I1)	[0/1] "1" if inconsistent detection in different quarters	[ucd=meta.code]
#Column	M2	(I1)	[0/1] "1" if inconsistent detection with not high enough peaks	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KOI|KIC|Teff|log(g)|Prot|e_Prot|Rvar|LPH|w|D|N|C|G|T|F|R|M1|M2|Simbad|_RA|_DE
# | |K|[g/cm3]|d|d|ppm| | | | | | | | | | | | |deg|deg
#----|--------|-----|------|------|-----|-----|---------|---------|-|-|-|-|-|-|-|-|-|------|---------|---------
   1|11446443| 5713| 4.143| 70.55|16.47|  445| 0.362359| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.80847|+49.31640
   2|10666592| 6264| 3.790| 70.69| 6.80|  919| 0.542156| 0.000000|0|1|0|0|0|0|0|1|0|Simbad|292.24728|+47.96952
   3|10748390| 4766| 4.590| 29.31| 0.49|12246| 0.607229| 0.431926|0|1|0|0|0|0|0|0|0|Simbad|297.70935|+48.08085
   5| 8554498| 5861| 4.170| 37.23| 4.18|  237| 0.082306| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.73972|+44.64742
  10| 6922244| 6213| 4.170| 82.12|16.05| 1245| 0.350827| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|281.28812|+42.45108
  12| 5812701| 6419| 4.262|  1.23| 0.14|  803| 0.285161| 0.206861|0|0|0|0|0|0|0|0|1|Simbad|297.45374|+41.01099
  13| 9941662| 8848| 3.927|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|286.97119|+46.86836
  17|10874614| 5647| 4.240| 59.87| 6.47|  769| 0.185104| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.83725|+48.23994
  18| 8191672| 6297| 4.070| 81.97|15.79| 1042| 0.555101| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|299.40701|+44.03505
  20|11804465| 5947| 4.100| 59.50| 2.37|  837| 0.058216| 0.001272|0|0|0|0|0|0|0|0|1|Simbad|286.24344|+50.04038
  22| 9631995| 5972| 4.500|126.37|11.86|  936| 0.371726| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|282.62967|+46.32336
  41| 6521045| 5909| 4.280| 24.99| 1.99|  399| 0.257340| 0.124581|0|0|0|0|0|0|0|0|1|Simbad|291.38599|+41.99027
  42| 8866102| 6170| 4.100| 20.85| 0.09| 1113| 1.022954| 0.524315|0|0|0|0|0|0|0|0|0|Simbad|283.15070|+45.13983
  49| 9527334| 6000| 4.500|  8.59| 0.03|15673| 1.232175| 0.684449|0|0|0|0|0|0|0|0|0|Simbad|292.24902|+46.16482
  69| 3544595| 5593| 4.500| 57.32| 1.30|  221| 0.320855| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.41830|+38.67236
  70| 6850504| 5468| 4.400| 27.72| 0.29| 1314| 0.274741| 0.188567|0|0|0|0|0|0|0|0|1|Simbad|287.69800|+42.33872
  72|11904151| 5627| 4.350| 18.20| 1.58|  506| 0.078370| 0.071827|0|0|0|0|0|0|0|0|1|Simbad|285.67938|+50.24130
  75| 7199397| 5925| 3.800| 26.41| 2.70|  333| 0.156168| 0.043738|0|0|0|0|0|0|0|0|1|Simbad|291.49722|+42.72848
  82|10187017| 4908| 4.700| 26.40| 0.48| 4053| 0.715318| 0.493294|0|0|0|0|0|0|0|0|0|Simbad|281.48273|+47.20803
  84| 2571238| 5541| 4.590| 20.27| 0.66|  475| 0.098697| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.42081|+37.85180
  85| 5866724| 6006| 4.074|  7.88| 0.21|  269| 0.677549| 0.457439|0|0|0|0|0|0|0|0|0|Simbad|288.68869|+41.15118
  87|10593626| 5510| 4.400| 25.60| 2.76|  659| 0.172726| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.21750|+47.88446
