Unnamed: 0,kepid,teff,age,mass,feh,logg,nusini,i,Prot,Flag,Type,Source,rad,vsini,age_err_low,age_err_upp,tm_designation,kepmag,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance,darcsec,GminK,visflag,astflag,parflag,binflag,zpt,parallax_zpcorrected,parallax_corrected,parallax_error_corrected,distpc,ak,ak_err,kmag_corrrected,kmag_err_corrected
49,8424992,5719.0,9.61,0.92,-0.12,4.359,0.22,59.1,42.3, 1 ,        MS , L \\,1.0505766096768228,1.0103044824981284,-1.74,1.92,2MASS J19183320+4424161,10.319,9.173,0.029,8.902,0.02,8.843,0.014,1636042515805110273,Gaia EDR3 2126936318297510400,2126936318297510400,627494905,2016.0,289.63842826804927,0.022854112,44.40489887105736,0.025627436,7.25755441021669,0.026933955,269.45743,86.32132,12.241866995123708,0.029832073,85.44885547279097,0.032853454,0.012345934,0.1010423,-0.03734415,-0.06724767,0.21444252,-0.10324262,-0.027748095,-0.14985031,0.0570232,0.027971795,359,359,355,4,24.923136,3718.1272,0.29769886,123.57417,31,False,1.5530859,,,,,,,,41,26,0.04554359,45,17,0,0.012617293,119.426315,0,0,2.0760083,,,,,,,,,False,335,1464161.8885788436,328.27762,4460.1333,10.273395,44,781038.0303525514,298.4224,2617.2231,10.606862,42,975969.8202774113,177.86299,5487.2,9.774304,0.0,0.0,0.0,0.0,0.0,1.2000092,0.8325577,0.33346748,0.4990902,-89.62924,1.1824119,5,5750.0,4.5,-0.25,75.91703813960768,14.123422648291127,305.3086733578417,65.45450394719363,2MASS J19183320+4424161,289.6383530365113,44.4045209611684,7.2718,12.089,85.025,-89.63,2000.0,2.39783137611696e-08,8.632192954021055e-05,-0.0456050000000001,False,False,False,False,-0.016004,7.2735584102166895,7.2735584102166895,0.030081291250154286,137.7874616540619,0.0,0.0,8.843,0.014
2,3425851,6343.0,3.32,1.18,-0.04,4.243,1.17,60.9,8.1, 0 ,        H , K \\,1.3597993126287804,6.954446184320234,-0.64,0.85,2MASS J19025471+3830254,10.56,9.948,,12.546,0.1739999999999999,9.604,0.017,1636042515805110273,Gaia EDR3 2100020484108391808,2100020484108391808,1375180753,2016.0,285.7289108731045,0.009465831,38.50689805355477,0.009958936,3.91176504066218,0.011056397,353.80106,25.0323,19.508542589548068,0.012040159,-15.685434545966055,0.011531391,-0.12763517,-0.067918,-0.024504554,-0.01005136,0.17021583,-0.0027042348,-0.3290078,0.08474526,-0.14785634,-0.1573721,381,381,376,5,-0.12740009,860.8041,0.08082988,10.008813,31,True,1.5995522,,,,,,,,43,27,0.017768329,47,21,0,0.0108178,160.40776,0,0,0.9944297,,,,,,,,,False,358,1131043.8227666188,139.29366,8119.8516,10.553668,42,658972.8016701844,471.89804,1396.4304,10.791373,43,691628.3639728652,1081.1333,639.72534,10.148213,0.0,16.0,0.0,18.0,0.0,1.1941192,0.64315987,0.23770523,0.40545464,-41.192883,0.9477636,6,6250.0,4.5,0.0,69.13036266306317,14.42044119973553,295.5668274981095,60.55763115872895,2MASS J19025471+3830254,285.7288008952096,38.50696775121556,3.858,19.357,-15.675,-41.19,2000.0,4.29820209501756e-08,0.0001547352754206,-0.0063320000000004,True,False,False,True,-0.014895,3.92666004066218,3.92666004066218,0.012328809006131083,255.63907586604972,0.0,0.0,9.604,0.017
3,3427720,6045.0,2.23,1.11,-0.06,4.387,0.3,56.4,31.6, 0 ,        MS , L \\,1.1173656162321115,1.4652726031207983,-0.24,0.24,2MASS J19054526+3831225,9.109,8.093999999999998,0.02,7.843,0.016,7.825999999999999,0.017,1636042515805110273,Gaia EDR3 2099985402815368704,2099985402815368704,487896181,2016.0,286.4382452160719,0.009913762,38.5226184686748,0.011045129,10.74198523637501,0.01194973,898.9312,93.40999,-60.81993420585252,0.012985894,-70.8968386028222,0.012699576,-0.12342226,-0.13778634,-0.115985155,0.13981998,0.15308695,0.1260748,-0.31638315,-0.09838999,-0.082894035,-0.101629876,381,381,378,3,0.13160278,791.7122,0.08929298,10.423608,31,False,1.5771787,,,,,,,,43,26,0.019154316,46,18,1,0.009360858,157.19968,0,0,1.0039272,,,,,,,,,False,387,4531632.741384144,645.82635,7016.7974,9.04673,42,2532707.424967371,803.8303,3150.7986,9.329579,43,2887381.565713041,721.2949,4003.0527,8.596635,0.0,0.0,0.0,0.0,0.0,1.1960565,0.7329445,0.2828493,0.45009518,-22.605846,0.33242378,5,6000.0,4.5,0.0,69.37426695381839,13.918081428856327,296.6726140138242,60.44873338874444,2MASS J19054526+3831225,286.4385903292156,38.5229333580673,10.6579,-60.75,-70.839,-22.61,2000.0,4.77082794946978e-08,0.0001717498061809,-0.0622699999999998,False,False,False,False,-0.019332,10.76131723637501,10.76131723637501,0.013460702643170012,93.09266192377117,0.0,0.0,7.825999999999999,0.017
24,6508366,6331.0,2.06,1.53,-0.05,3.942,2.28,87.0,5.1, 0 ,        H , L \\,2.189674340000189,21.82309020339694,-0.14,0.13,2MASS J19074359+4156159,8.971999999999998,8.013999999999998,0.02,7.843,0.02,7.801,0.024,1636042515805110273,Gaia EDR3 2102432743901009280,2102432743901009280,1675537544,2016.0,286.93163378922003,0.009382991,41.93773610739389,0.010992639,5.450059228650948,0.010962665,497.1473,7.494926,0.2714178483329408,0.013134635,7.49000966441479,0.014129938,-0.04737034,0.02607527,-0.10433826,-0.09468613,0.13608201,-0.10085694,-0.33602905,-0.1812531,-0.10703103,-0.12803231,382,382,378,4,-2.308247,712.1964,0.07564767,7.4592013,31,True,1.6001002,,,,,,,,43,27,0.020443745,46,17,2,0.013546983,165.28058,0,0,0.91582286,,,,,,,,,False,387,5234348.864420844,866.5014,6040.785,8.89021,41,3042266.2300613336,862.8213,3525.9517,9.130549,43,3185442.7068029777,1173.439,2714.6216,8.489971,0.0,0.0,0.0,0.0,0.0,1.1897773,0.64057827,0.24033928,0.400239,3.393316,0.51868594,7,6500.0,4.0,0.0,72.76292115520029,14.935486417460444,299.23572441105284,63.66851910958205,2MASS J19074359+4156159,286.9316321140262,41.9377027381347,5.4963,0.279,7.519,3.39,2000.0,4.8894122857094905e-08,0.0001760188422855,-0.081789999999998,False,False,False,False,-0.018205,5.468264228650948,5.468264228650948,0.012361047512649964,183.48424449095936,0.0,0.0,7.801,0.024
76,10666592,6350.0,2.11,1.5,0.26,4.017,0.91,47.2,9.5, 0 ,        H , K \\,1.988746567956441,7.910841938103485,-0.24,0.29,2MASS J19285935+4758102,10.463,9.555,0.03,9.344,0.029,9.334,0.018,1636042515805110273,Gaia EDR3 2129256395211984000,2129256395211984000,814706079,2016.0,292.2471862001857,0.01015957,47.96954406410182,0.010569662,2.9990652107931,0.0113640325,263.90854,20.350645,-18.3248749752628,0.014262368,8.851426007842502,0.013935658,-0.07056244,0.013906455,-0.036102887,0.05382673,0.058294404,0.04977883,-0.09664714,-0.12906228,-0.18324149,0.011588193,363,363,359,4,-0.5781517,903.10114,0.09225544,12.332192,31,False,1.5987009,,,,,,,,41,28,0.019796213,46,17,1,0.00869412,114.83344,0,0,0.977416,,,,,,,,,False,347,1342375.2495665967,350.94992,3824.9766,10.367682,44,778298.7987229204,455.46063,1708.8169,10.610677,42,811348.1960656386,173.57617,4674.306,9.974877,0.0,10.0,0.0,2.0,0.0,1.1842046,0.6357994,0.24299431,0.3928051,-10.046606,0.40631902,11,6500.0,4.0,0.25,80.03293217686257,13.975377246644406,312.8681883679929,68.1239770560691,2MASS J19285935+4758102,292.24730755480874,47.96950451412389,2.9031,-18.281,8.91,-10.578,2000.0,4.9989920031692374e-08,0.000179963712114,-0.0953179999999989,False,False,False,False,-0.013117,3.0121822107931,3.0121822107931,0.012684146537931233,333.4372311749603,0.009078,0.0027234,9.32492200025916,0.01820485944645235
42,8150065,6173.0,3.83,1.19,-0.13,4.22,0.54,64.0,18.6, 0 ,        MS , L \\,1.402191384513374,3.309808949176396,-0.67,0.99,2MASS J19000694+4401450,10.743,9.771,0.02,9.541,0.018,9.457,0.016,1636042515805110273,Gaia EDR3 2105943072207122688,2105943072207122688,1039304990,2016.0,285.0288439858952,0.008311541,44.02905619261914,0.008615661,3.858284084912314,0.009205646,419.1215,30.657433,-11.466553796839731,0.011310374,-28.43231171777265,0.01167297,-0.06548152,-0.0933835,0.166456,0.0145857325,0.10296978,-0.01252978,-0.056163702,-0.06980114,-0.055667214,0.018096615,423,423,421,2,-2.4914987,739.297,0.06887721,7.3314705,31,False,1.5840214,,,,,,,,48,29,0.016199168,55,17,0,0.008301255,147.18669,10,0,0.91410077,,,,,,,,,False,428,995672.6499755096,128.42648,7752.861,10.692076,49,564517.0535052744,291.88095,1934.0662,10.95935,49,625231.4448981282,220.5527,2834.839,10.257793,0.0,49.0,0.0,49.0,0.0,1.1949193,0.7015562,0.2672739,0.4342823,-47.671387,0.3944977,9,6000.0,3.5,0.0,74.22198104080657,17.019500422696808,297.33788939009054,66.04794483274821,2MASS J19000694+4401450,285.0289153340667,44.0291824678211,3.8266,-11.547,-28.401,-47.67,2000.0,5.2807574177156744e-08,0.0001901072670377,-0.0509240000000001,False,True,False,True,-0.013563,3.871847084912314,3.871847084912314,0.01026188533287277,259.18257390907667,0.0,0.0,9.457,0.016
73,10516096,5964.0,7.01,1.06,-0.11,4.169,0.48,71.8,22.6, 0 ,        MS , L \\,1.4034170430543764,2.944624053673337,-1.45,1.33,2MASS J18493364+4742398,9.457,8.441,0.029,8.176,0.026,8.128999999999998,0.021,1636042515805110273,Gaia EDR3 2119655803272920448,2119655803272920448,1601901750,2016.0,282.3905357178341,0.010600102,47.71063729927577,0.011428555,7.41867734215672,0.012035723,616.3882,93.15067,44.0869076591424,0.013053905,-82.05724878457889,0.013285003,-0.17361619,-0.17024939,0.188106,0.025404803,0.2700434,-0.08772613,-0.16752754,-0.26258916,0.04362099,0.010425537,297,297,296,1,-1.4170294,523.53864,0.07596377,6.965728,31,False,1.5723004,,,,,,,,34,24,0.018687962,40,13,1,0.016766384,114.9877,0,0,0.9407185,,,,,,,,,False,293,3209595.359617738,488.65427,6568.2334,9.421241,37,1777358.8502420553,807.48816,2201.096,9.714105,35,2066947.5506985225,674.5157,3064.3433,8.959572,0.0,2.0,0.0,2.0,0.0,1.1977543,0.7545328,0.29286385,0.46166897,1.6183354,0.40839434,6,6000.0,4.0,0.0,77.19934094490628,20.01206812574511,295.0649424786438,70.07389037563387,2MASS J18493364+4742398,282.3902453195987,47.7110020234029,7.3564,43.958,-82.053,1.62,2000.0,5.4814949602605945e-08,0.0001973338185693,-0.0357590000000005,False,False,False,False,-0.015812,7.43448934215672,7.43448934215672,0.013523993582936525,134.7949174602174,0.0005656825,0.00016970476,8.128434317520352,0.021000685696042284
57,9098294,5852.0,8.08,0.97,-0.18,4.308,0.36,58.2,27.2, 0 ,        MS , L \\,1.1439832898910065,1.800213661942947,-0.73,0.99,2MASS J19402120+4529209,9.758,8.723,0.024,8.42,0.026,8.364,0.012,1636042515805110273,Gaia EDR3 2079984805272568192,2079984805272568192,744446764,2016.0,295.08847051006904,0.014355951,45.48946100425777,0.018188057,8.262272156733605,0.016395846,503.92468,70.00575,14.478396124660126,0.019234756,68.49220355688968,0.02254928,0.034607578,0.006624357,-0.21240427,-0.07019097,0.0896317,-0.07717066,-0.46702087,-0.018435035,-0.015741372,0.038877696,410,410,407,3,16.586138,2255.991,0.18376085,51.187897,31,False,1.5669011,,,,,,,,46,28,0.032765325,49,23,2,0.009497362,178.11188,0,0,1.637747,,,,,,,,,False,399,2456123.8638173654,288.55478,8511.812,9.711741,46,1345865.9998861032,398.39038,3378.2593,10.016038,47,1598265.4511678484,393.60452,4060.5872,9.238773,0.0,0.0,0.0,0.0,0.0,1.1986902,0.7772646,0.3042965,0.4729681,-43.52551,14.337977,3,6000.0,4.5,-0.25,78.6440964329799,11.12873185216189,314.8469036460148,65.07019891793149,2MASS J19402120+4529209,295.0883784021277,45.4891558093939,8.1797,14.528,68.681,-43.53,2000.0,5.58070811645612e-08,0.0002009054921924,-0.0462589999999991,False,False,False,False,-0.01672,8.278992156733604,8.278992156733604,0.018385888413496893,121.03208185717021,0.0,0.0,8.364,0.012
77,10730618,6150.0,3.05,1.34,-0.11,4.062,0.56,55.6,16.1, 0 ,        MS , L \\,1.7847862555546772,4.368940312916153,-0.29,0.46,2MASS J19263048+4805348,10.45,9.546,0.021,9.346,0.018,9.316,0.013,1636042515805110273,Gaia EDR3 2129299035647555968,2129299035647555968,1595457741,2016.0,291.6270471509609,0.0137005225,48.09301935765773,0.015339354,3.362998014406021,0.015909411,211.3842,0.7017403,-0.0040103370119305,0.019230299,0.7017288658161929,0.018174715,-0.067241475,-0.07928809,-0.08282834,0.038242817,0.18355772,-0.0012965656,-0.1058837,-0.22972402,-0.0074380217,0.05000308,324,324,320,4,6.2392116,1328.1249,0.14318193,25.692347,31,False,1.5993874,,,,,,,,37,28,0.026971873,40,16,1,0.012142358,144.49112,0,0,1.257464,,,,,,,,,False,322,1329075.4292586774,415.64218,3197.6433,10.378492,35,768643.781534198,270.4382,2842.216,10.624229,36,806155.4486207982,177.05493,4553.1377,9.981849,0.0,14.0,0.0,14.0,0.0,1.1848832,0.6423807,0.24573708,0.39664364,-12.743332,0.35788992,3,6250.0,4.0,-0.25,79.96778380675175,14.403435285511586,311.97626164313647,68.40348272688223,2MASS J19263048+4805348,291.6270467866158,48.0930158848586,3.3278,0.056,0.794,-12.74,2000.0,5.6364581438679294e-08,0.0002029124931792,-0.0715079999999996,False,False,False,False,-0.012984,3.375982014406021,3.375982014406021,0.0177563564815906,297.35372893957,0.003026,0.00090780004,9.312974000008778,0.01303165764347824
61,9353712,6278.0,2.15,1.51,-0.05,3.943,0.75,37.6,9.5, 0 ,        H , L \\,2.1728126812740167,7.123368679269645,-0.13,0.11,2MASS J19441068+4553210,10.836,9.892,0.021,9.646,0.017,9.607,0.014,1636042515805110273,Gaia EDR3 2080195945866437504,2080195945866437504,252453458,2016.0,296.04445635042185,0.009078775,45.88921657436872,0.009744001,2.4386876395244115,0.010408073,234.30733,11.446239,-10.71796141019282,0.012111336,4.017673179517695,0.011703015,-0.076457486,-0.06353847,0.09198162,-0.014280673,0.10690045,-0.046304815,-0.11270394,0.02960409,-0.07548381,0.06542729,363,363,361,2,-1.7563726,681.7969,0.07325463,7.8328876,31,False,1.588958,,,,,,,,41,24,0.017109135,44,17,1,0.014411709,0.9844817,0,0,0.9339892,,,,,,,,,False,364,935929.5951946272,122.55105,7637.059,10.759259,42,533647.3168891747,262.81195,2030.529,11.020407,42,579388.334057502,146.269,3961.115,10.340471,0.0,0.0,0.0,0.0,0.0,1.1892301,0.67993546,0.2611475,0.41878796,-45.981453,0.46198744,9,6500.0,4.0,-0.25,79.32176305234758,10.724971052968346,316.68353813357646,65.16271945321576,2MASS J19441068+4553210,296.0445253038615,45.8891985193041,2.3683,-10.804,4.074,-45.98,2000.0,5.649152630772026e-08,0.0002033694947077,-0.0767410000000001,False,False,False,False,-0.013422,2.4521096395244113,2.4521096395244113,0.011603009128497741,410.0566156127392,0.006052,0.0018156001,9.600948000017553,0.01411723782286391
