# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1563   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  148         8.0000000000000000E+000         1.0000000000000001E-001         9.9999842780466822E-002         3.4759108995184724E+000         4.8756734516153344E+000        -2.5792386231426057E+000         0.0000000000000000E+000            0.041367           16.730181           15.695580           14.238314           12.799325           10.999414            9.223558            8.579256            8.349146           12.632906           14.939515           14.031536           15.894220           14.490990           12.538417           14.505918           11.298163           12.548005           14.460276           14.501665           11.273355           11.158971           12.566910           14.483248           11.270813           -1.000000
  149         8.0000000000000000E+000         1.0197952385042827E-001         1.0197936350057610E-001         3.4763089986766889E+000         4.8754006750874774E+000        -2.5704019137589067E+000         0.0000000000000000E+000            0.041368           16.695061           15.660908           14.204888           12.769975           10.973761            9.202500            8.558184            8.328314           12.605423           14.905695           14.000538           15.859831           14.457288           12.511896           14.472564           11.272761           12.521215           14.426934           14.468332           11.247983           11.134188           12.540132           14.449886           11.245422           -1.000000
  150         8.0000000000000000E+000         1.0596699068424126E-001         1.0596682398526000E-001         3.4770189073908666E+000         4.8747024090565612E+000        -2.5528208531435634E+000         0.0000000000000000E+000            0.041366           16.627922           15.594632           14.140830           12.713128           10.923529            9.160419            8.516096            8.286633           12.551906           14.840795           13.940771           15.794044           14.392735           12.460091           14.408634           11.222961           12.468931           14.363027           14.404439           11.198236           11.085487           12.487869           14.385941           11.195642           -1.000000
  151         8.0000000000000000E+000         1.1003643326242210E-001         1.1003626000634059E-001         3.4781016899627897E+000         4.8739859313116973E+000        -2.5334413811541641E+000         0.0000000000000000E+000            0.041366           16.544853           15.512659           14.061964           12.645081           10.865657            9.114969            8.470509            8.241650           12.488955           14.760401           13.868332           15.712869           14.313126           12.399743           14.329958           11.165702           12.407861           14.284382           14.325821           11.141057           11.029898           12.426831           14.307238           11.138416           -1.000000
  152         8.0000000000000000E+000         1.1415047544873660E-001         1.1415029548230901E-001         3.4794053478127434E+000         4.8733124919593491E+000        -2.5130643744338910E+000         0.0000000000000000E+000            0.041366           16.453014           15.422826           13.974683           12.570584           10.803635            9.067798            8.423054            8.194903           12.420668           14.671345           13.788591           15.623217           14.224959           12.334568           14.242888           11.104310           12.341830           14.197350           14.238824           11.079762           10.970504           12.360838           14.220131           11.077074           -1.000000
  153         8.0000000000000000E+000         1.1827592781020953E-001         1.1827574103006494E-001         3.4808037800517937E+000         4.8727345241276074E+000        -2.4923635570473186E+000         0.0000000000000000E+000            0.041366           16.358250           15.329931           13.884288           12.493628           10.740303            9.020067            8.375093            8.147671           12.350449           14.579149           13.706058           15.530710           14.133626           12.267658           14.152702           11.041533           12.274019           14.107202           14.148719           11.017087           10.909854           12.293065           14.129900           11.014359           -1.000000
  154         8.0000000000000000E+000         1.2243062868095764E-001         1.2243043495478959E-001         3.4823486077597066E+000         4.8721912217767240E+000        -2.4710088151462859E+000         0.0000000000000000E+000            0.041368           16.258276           15.231279           13.788620           12.412490           10.674482            8.971104            8.325959            8.099298           12.276830           14.481533           13.618813           15.433159           14.036934           12.197660           14.057247           10.976183           12.203049           14.011785           14.053353           10.951848           10.846832           12.222133           14.034388           10.949087           -1.000000
  155         8.0000000000000000E+000         1.2661820617425137E-001         1.2661800536033080E-001         3.4840664260156826E+000         4.8716726819969942E+000        -2.4488710879369409E+000         0.0000000000000000E+000            0.041367           16.152237           15.126493           13.686790           12.326433           10.605732            8.920653            8.275419            8.049538           12.199206           14.377586           13.526039           15.329726           13.933975           12.124017           13.955629           10.907796           12.128346           13.910207           13.951838           10.883583           10.781006           12.147471           13.932699           10.880798           -1.000000
  156         8.0000000000000000E+000         1.3083283160322598E-001         1.3083262356736841E-001         3.4859232770731126E+000         4.8711796922030057E+000        -2.4261075214396937E+000         0.0000000000000000E+000            0.041367           16.041769           15.017157           13.580283           12.236538           10.534802            8.869009            8.223783            7.998662           12.118479           14.268844           13.428970           15.221981           13.826260           12.047533           13.849325           10.837083           12.050750           13.803944           13.845646           10.813002           10.713026           12.069915           13.826313           10.810205           -1.000000
  157         8.0000000000000000E+000         1.3507119026117276E-001         1.3507097487215677E-001         3.4879099953536308E+000         4.8707090510211648E+000        -2.4027632504189849E+000         0.0000000000000000E+000            0.041368           15.927477           14.903835           13.469634           12.143176           10.461954            8.816257            8.171095            7.946766           12.034951           14.155871           13.328041           15.110489           13.714332           11.968477           13.738869           10.764283           11.970535           13.693530           13.735312           10.740338           10.643108           11.989740           13.715760           10.737545           -1.000000
  158         8.0000000000000000E+000         1.3933700394543641E-001         1.3933678106396033E-001         3.4900340122263400E+000         4.8702286395046155E+000        -2.3787633229384753E+000         0.0000000000000000E+000            0.041367           15.809172           14.786331           13.354666           12.046152           10.387011            8.762230            8.117180            7.893605           11.948420           14.038402           13.223052           14.995052           13.598007           11.886643           13.624080           10.689206           11.887499           13.578784           13.620656           10.665405           10.571061           11.906743           13.600864           10.662631           -1.000000
  159         8.0000000000000000E+000         1.4362516777995049E-001         1.4362493727346806E-001         3.4922670543793108E+000         4.8697494367546792E+000        -2.3542497898308179E+000         0.0000000000000000E+000            0.041368           15.688202           14.665956           13.236688           11.946460           10.310578            8.707414            8.062311            7.839449           11.859679           13.917521           13.115137           14.876942           13.478616           11.802742           13.506266           10.612455           11.802373           13.461014           13.502983           10.588803           10.497435           11.821656           13.482935           10.586061           -1.000000
  160         8.0000000000000000E+000         1.4792967474987051E-001         1.4792943649378862E-001         3.4945975419925004E+000         4.8693195384929915E+000        -2.3293382217583956E+000         0.0000000000000000E+000            0.041369           15.565357           14.543468           13.116503           11.844744           10.233053            8.652032            8.006752            7.784563           11.769244           13.794457           13.005018           14.757351           13.356968           11.717246           13.386229           10.534437           11.715639           13.341022           13.383097           10.510936           10.422606           11.734961           13.362776           10.508243           -1.000000
