kepmag	short	long	5hr	
7.0	39	7.1	2.3
7.5	49	9.0	2.8
8.0	62	11.3	3.6
8.5	78	14.3	4.5
9.0	99	18.1	5.7
9.5	125	22.8	7.2
10.0	159	29.0	9.2
10.5	202	36.9	11.7
11.0	259	47.4	14.8
11.5	336	61.3	19.4
12.0	441	80.5	25.4
12.5	589	107	34.0
13.0	804	147	46.4
13.5	1127	206	65.0
14.0	1620	296	93.5
14.5	2388	436	138
15.0	3594	656	207
15.5	5495	1003	317
16.0	8503	1552	491
16.5	13270	2422	766
17.0	20810	3800	1202
17.5	32770	5983	1892
18.0	51720	9444	2986
18.5	81760	14930	4720
19.0	129400	23620	7470
19.5	204800	37390	11820
20.0	324400	59220	18730
20.5	513900	93830	29670
21.0	814300	148700	47010
