#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T02:57:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232a36311af00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/res}&key:source=J/other/NatAs/4.03/res&HTTPPRM:&
#-source=J/other/NatAs/4.03/res
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=VMAG
#-out=logR
#-out=SMW
#-out=s_SMW
#-out=logR'HK
#-out=s_logR'HK
#-out=Prot
#-out=e_Prot
#-out=tauc
#-out=e_tauc
#-out=Ro
#-out=e_Ro
#-out=Evol
#-out=Note
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_res:
#Name: J/other/NatAs/4.03/res
#Title: Results for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	VMAG	(F5.2)	V-band absolute magnitude (3)	[ucd=phot.mag]
#Column	logR	(F5.2)	? Logarithm of stellar radius	[ucd=phys.size.radius]
#Column	SMW	(F7.4)	Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	s_SMW	(F7.4)	Intrinsic variability amplitude of SMW (3 sigma level)	[ucd=src.var.amplitude]
#Column	logR'HK	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	s_logR'HK	(F9.3)	? Intrinsic variability amplitude of logR'HK (3 sigma level)	[ucd=src.var.amplitude]
#Column	Prot	(F8.4)	? Rotation period (4)	[ucd=time.period]
#Column	e_Prot	(F7.4)	? Error of Prot	[ucd=stat.error]
#Column	tauc	(F6.2)	? Convective turnover time	[ucd=time.epoch]
#Column	e_tauc	(F6.2)	? Error of tauc	[ucd=stat.error]
#Column	Ro	(F8.5)	? Rossby number	[ucd=stat.param]
#Column	e_Ro	(F8.5)	? Error of Ro	[ucd=stat.error]
#Column	Evol	(A2)	[MS SG G] Evolutionary stage (5)	[ucd=meta.code.class]
#Column	Note	(a20)	Notes on Prot and tauc	[ucd=meta.note]
HD|m_HD|Name|VMAG|logR|SMW|s_SMW|logR'HK|s_logR'HK|Prot|e_Prot|tauc|e_tauc|Ro|e_Ro|Evol|Note
# | | |mag|[Rsun]| | | | |d|d|d|d| | | |
#------|-|------------|-----|-----|-------|-------|-------|---------|--------|-------|------|------|--------|--------|--|--------------------
  1835| |BE Cet      | 4.75| 0.02| 0.3439| 0.0767| -4.454|    0.133|  7.6760| 0.0530| 32.50|  4.20| 0.23590| 0.00190|MS|
  2454| |HR 107      | 3.15| 0.26| 0.1700| 0.0200| -4.737|    0.096|  3.0410| 0.0720|  0.41|  0.39| 7.00000|17.00000|MS|unreliable tauc
  3229| |14 Cet      | 2.13| 0.46| 0.2225| 0.0219| -4.553|    0.069|  1.5250| 0.0640|      |      |        |        |SG|
  3421| |HR 157      |-1.86| 1.40| 0.4840| 0.0391| -4.461|    0.039|        |       |      |      |        |        |  |
  3443| |HR 159      | 4.63| 0.06| 0.1779| 0.0220| -4.955|    0.105|  4.2900| 0.1200| 52.10|  9.40| 0.08230| 0.00230|SG|likely spurious Prot
  3546| |epsilon And | 0.79| 0.90| 0.2418| 0.0105| -4.808|    0.024|        |       |335.00| 64.00|        |        | G|
  3651| |54 Psc      | 5.65|-0.12| 0.1694| 0.0282| -5.040|    0.111| 37.0000| 1.2000| 56.10|  2.20| 0.65900| 0.02100|MS|
  3795| |HR 173      | 3.87| 0.22| 0.1549| 0.0174| -5.107|    0.114|  4.9550| 0.0820| 91.00| 14.00| 0.05468| 0.00091| G|likely spurious Prot
  4128| |beta Cet    |-0.31| 1.12| 0.3881| 0.1457| -4.685|    0.163|173.1000| 4.5000|336.00| 48.00| 0.51600| 0.01300| G|
  4628| |HR 222      | 6.39|-0.23| 0.2303| 0.0775| -4.874|    0.187| 37.1400| 0.6200| 61.30|  7.20| 0.60600| 0.01000|MS|
  6903| |psi3 Psc    | 0.00| 0.98| 0.6298| 0.0987| -4.177|    0.080|  5.7240| 0.0640|  3.00| 19.00| 1.80000| 3.40000|SG|unreliable tauc
  6920| |44 And      | 2.04| 0.54| 0.1927| 0.0248| -4.845|    0.113| 13.5400| 0.2100| 16.20|  7.80| 0.83600| 0.02800|SG|
  8491| |psi Cas     | 0.85| 0.90| 0.2254| 0.0123| -4.962|    0.025|        |       |391.00| 44.00|        |        | G|
  9562| |HR 448      | 3.39| 0.27| 0.1371| 0.0140| -5.250|    0.151| 26.9200| 0.9500| 21.30|  8.70| 1.26700| 0.05100|SG|
 10072| |chi And     | 0.52| 0.94| 0.3924| 0.0869| -4.562|    0.108|122.1000| 9.0000|274.00| 97.00| 0.44500| 0.03300|SG|
 10476| |107 Psc     | 5.83|-0.19| 0.1888| 0.0455| -4.962|    0.153| 35.6000| 0.7500|      |      |        |        |  |
 10700| |tau Cet     | 5.71|-0.13| 0.1710| 0.0119| -4.995|    0.060| 34.0300| 0.9800| 48.20|  1.20| 0.70600| 0.02000|MS|
 10780| |V987 Cas    | 5.63|-0.12| 0.2759| 0.0907| -4.707|    0.187| 22.1400| 0.5500| 50.60|  1.20| 0.43700| 0.01100|MS|
 12235| |112 Psc     | 3.38| 0.26| 0.1573| 0.0208| -5.053|    0.152| 12.6300| 0.2200| 12.50|  6.10| 1.01300| 0.04400|SG|
 13421| |64 Cet      | 2.58| 0.41| 0.1289| 0.0120| -5.285|    0.161|  5.5350| 0.0800|  5.20|  3.60| 1.06000| 0.14000|SG|
 16160| |HR 753      | 6.49|-0.21| 0.2277| 0.0674| -4.902|    0.160| 48.5800| 0.8000|      |      |        |        |  |
 16673| |HR 784      | 4.09| 0.10| 0.2163| 0.0245| -4.632|    0.084|  5.9760| 0.0900| 10.90|  1.40| 0.54900| 0.01100|MS|
 17361| |39 Ari      | 0.94| 0.89| 0.2221| 0.0126| -5.036|    0.025|        |       |386.00| 58.00|        |        | G|
 17925| |EP Eri      | 5.96|-0.17| 0.6433| 0.1342| -4.323|    0.100|  6.9170| 0.0780| 58.10|  4.30| 0.11910| 0.00140|MS|
 18256| |rho Ari     | 2.76| 0.35| 0.1808| 0.0259| -4.714|    0.117|  3.6480| 0.0270|  2.42|  0.24| 1.50800| 0.06200|SG|unreliable tauc
 19787| |delta Ari   | 0.89| 0.88| 0.2364| 0.0310| -4.927|    0.061|        |       |366.00| 37.00|        |        | G|
 20468| |HR 991      |-3.21| 1.73| 0.4381| 0.1309| -5.287|    0.131|        |       |      |      |        |        |  |
 20630| |kappa1 Cet  | 5.03|-0.04| 0.3473| 0.0642| -4.468|    0.106|  8.9660| 0.0940| 34.00|  1.00| 0.26540| 0.00280|MS|
 21552| |sigma Per   |-0.64| 1.26| 0.3108| 0.0535| -5.236|    0.074|        |       |390.00|100.00|        |        | G|
 22049| |epsilon Eri | 6.19|-0.18| 0.5050| 0.1347| -4.461|    0.132| 11.0900| 0.1900|      |      |        |        |  |
 22072| |HR 1085     | 3.03| 0.44| 0.1311| 0.0127| -5.186|    0.067|  4.4700| 0.1000|240.00| 21.00| 0.01859| 0.00042| G|likely spurious Prot
