#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T09:13:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232fbb135af7d	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/lit}&key:source=J/other/NatAs/4.03/lit&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/NatAs/4.03/lit
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=Vmag
#-out=B-V
#-out=r_Vmag
#-out=d
#-out=r_d
#-out=Teff
#-out=r_Teff
#-out=logL
#-out=r_logL
#-out=logg
#-out=r_logg
#-out=[Fe/H]
#-out=r_[Fe/H]
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_lit:
#Name: J/other/NatAs/4.03/lit
#Title: Literature values for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_Vmag	(A19)	Bibcode for V and B-V reference	[ucd=meta.ref;pos.frame]
#Column	d	(F6.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_d	(A19)	Bibcode for d reference	[ucd=meta.ref;pos.frame]
#Column	Teff	(I4)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	r_Teff	(A19)	Bibcode for Teff reference (1)	[ucd=meta.ref;pos.frame]
#Column	logL	(F5.2)	? Logarithm of luminosity relative to the Sun	[ucd=phys.luminosity]
#Column	r_logL	(A19)	Bibcode for logL reference (2)	[ucd=meta.ref]
#Column	logg	(F6.3)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	r_logg	(A19)	Bibcode for logg	[ucd=meta.ref;pos.frame]
#Column	[Fe/H]	(F5.2)	? Metallicity relative to the Sun	[ucd=phys.abund.Z]
#Column	r_[Fe/H]	(A19)	Bibcode for [Fe/H] reference	[ucd=meta.ref]
#Column	SimbadName	(A10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HD|m_HD|Name|Vmag|B-V|r_Vmag|d|r_d|Teff|r_Teff|logL|r_logL|logg|r_logg|[Fe/H]|r_[Fe/H]|SimbadName|_RA|_DE
# | | |mag|mag| |pc| |K| |[Lsun]| |[cm/s2]| |[Sun]| | |deg|deg
#------|-|------------|------|------|-------------------|------|-------------------|----|-------------------|-----|-------------------|------|-------------------|-----|-------------------|----------|---------|---------
  1835| |BE Cet      | 6.390| 0.659|1997ESASP1200.....E| 21.30|2018A&A...616A...9L|5760|2018A&A...616A...8A| 0.04|2018A&A...616A...8A| 4.500|2007ApJS..168..297T| 0.23|2016ApJ...826..171G|HD   1835 |005.71578|-12.20944
  2454| |HR 107      | 6.050| 0.447|1997ESASP1200.....E| 38.00|2018A&A...616A...9L|6480|2018A&A...616A...8A| 0.65|2018A&A...616A...8A| 4.200|2006AJ....132..161G|-0.24|2016ApJ...826..171G|HD   2454 |007.08352|+10.18981
  3229| |14 Cet      | 5.940| 0.444|1997ESASP1200.....E| 57.90|2018A&A...616A...9L|6470|2018A&A...616A...8A| 1.06|2018A&A...616A...8A| 3.900|1990ApJ...354..310B|-0.15|2016ApJ...826..171G|HD   3229 |008.88681|-00.50561
  3421| |HR 157      | 5.450| 0.886|1997ESASP1200.....E|290.00|2018A&A...616A...9L|5130|2018A&A...616A...8A| 2.75|2018A&A...616A...8A| 2.150|2007A&A...475.1003H|-0.35|2007A&A...475.1003H|HD   3421 |009.33841|+35.39950
  3443| |HR 159      | 5.570| 0.715|1997ESASP1200.....E| 15.40|2007A&A...474..653V|5560|                   | 0.06|                   | 4.280|2006AJ....132..161G|-0.10|2016ApJ...826..171G|HD   3443 |009.33633|-24.76727
  3546| |epsilon And | 4.340| 0.871|1997ESASP1200.....E| 51.30|2018A&A...616A...9L|4980|2018A&A...616A...8A| 1.73|2018A&A...616A...8A| 3.160|2009A&A...508.1313F|-0.63|2016ApJ...826..171G|HD   3546 |009.63895|+29.31176
  3651| |54 Psc      | 5.880| 0.850|1997ESASP1200.....E| 11.10|2018A&A...616A...9L|5280|2018A&A...616A...8A|-0.27|2018A&A...616A...8A| 4.510|2007ApJS..168..297T| 0.17|2016ApJ...826..171G|HD   3651 |009.84086|+21.25048
  3795| |HR 173      | 6.140| 0.718|1997ESASP1200.....E| 28.50|2018A&A...616A...9L|5500|2018A&A...616A...8A| 0.42|2018A&A...616A...8A| 4.060|2007ApJS..168..297T|-0.54|2016ApJ...826..171G|HD   3795 |010.13665|-23.80492
  4128| |beta Cet    | 2.040| 1.019|1997ESASP1200.....E| 29.50|2007A&A...474..653V|4860|                   | 1.96|                   | 2.870|1990ApJS...74.1075M| 0.09|2016ApJ...826..171G|HD   4128 |010.89738|-17.98661
  4628| |HR 222      | 5.740| 0.890|1997ESASP1200.....E|  7.43|2018A&A...616A...9L|5010|2018A&A...616A...8A|-0.52|2018A&A...616A...8A| 4.590|2007ApJS..168..297T|-0.22|2016ApJ...826..171G|HD   4628 |012.09573|+05.28061
  6903| |psi3 Psc    | 5.570| 0.697|1997ESASP1200.....E|130.00|2018A&A...616A...9L|5620|2018A&A...616A...8A| 1.98|2018A&A...616A...8A|      |                   | 0.40|2016ApJ...826..171G|HD   6903 |017.45500|+19.65841
