#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T07:16:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232e02624ff1c	
#INFO	-out.max=999999	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Name
#-out=HD
#-out=HIP
#-out=GJ
#-out=GCVS
#-out=2MASS
#-out=RAJ2000
#-out=DEJ2000
#-out=Cluster
#-out=Dist
#-out.all=2
#-out=Vmag
#-out=V-K
#-out=SpT
#-out=r_SpT
#-out=logLx
#-out=r_logLx
#-out=Prot
#-out=r_Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#-out.all=2
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stars with rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars -- updated version by the author
#Column	Name	(a23)	Default source name (1)	[ucd=meta.id;meta.main]
#Column	HD	(I6)	? Henry Draper catalog number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I6)	? Hipparcos catalog number (Cat. I/239) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	GJ	(a7)	Catalog of nearby stars source name (Cat. V/70)	[ucd=meta.id]
#Column	GCVS	(A9)	? General Catalog of Variable Stars source name (Cat. B/gcvs)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS source name (HHMMSSss+DDMMSSs; J2000 - Cat. II/246)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Cluster	(A8)	? Name of open cluster that star is part of (or 'Field')	[ucd=meta.id]
#Column	Dist	(F5.1)	? Distance to star (2)	[ucd=pos.distance;pos.heliocentric]
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	SpT	(a5)	? Spectral type of star	[ucd=src.spType]
#Column	r_SpT	(A3)	? Reference for spectral type, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	r_logLx	(A3)	Reference for X-ray luminosity in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	r_Prot	(A4)	Reference for rotation period, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
Name|HD|HIP|GJ|GCVS|2MASS|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|r_SpT|logLx|r_logLx|Prot|r_Prot|M*|R*|L*|Teff|dcz|Lx/bol
# | | | | | |"h:m:s"|"d:m:s"| |pc|mag|mag| | |[10-7W]| |d| |Msun|Rsun|Lsun|K| |[---]
#-----------------------|------|------|-------|---------|----------------|-----------|-----------|--------|-----|-----|-----|-----|---|-----|---|-----|----|-----|-----|-----|----|-----|-----
Sun                    |      |      |       |         |                |           |           |        |     |     | 1.58|G2   |   |27.35|J03|26.09|D96 | 1.00| 1.00| 1.00|5780| 0.69|-6.24
                       |      |      |       |         |                |00 08 06.43|+47 57 02.5|Field   |  8.3|12.40| 4.73|     |   |28.21|V99| 4.38|H11 | 0.17| 0.18| 0.00|3201| 0.00|-2.98
HD 691                 |   691|      |       |V0344 And|00112240+3026584|00 11 22.44|+30 26 58.5|Field   | 34.0| 7.95| 1.95|K0   |C18|29.14|V99| 6.05|FEPS| 1.03| 0.94| 0.80|5460| 0.72|-4.29
GJ NN3030              |      |      |NN3030 |         |                |00 21 57.81|+49 12 38.0|Field   | 15.0|12.47| 4.27|     |   |28.25|V99| 6.17|H11 | 0.24| 0.24| 0.01|3405| 0.00|-3.28
HD 1835                |  1835|  1803|17.3   |BE Cet   |00225174-1212340|00 22 51.79|-12 12 34.0|Field   | 20.0| 6.39| 1.54|G2   |B95|29.15|V99| 7.78|D96 | 1.10| 1.03| 1.11|5687| 0.76|-4.43
                       |      |      |       |         |                |00 28 53.92|+50 22 33.0|Field   |  9.0|12.82| 4.83|     |   |28.29|V99| 1.09|H11 | 0.15| 0.17| 0.00|3163| 0.00|-2.83
                       |      |      |       |         |                |00 36 34.36|+55 37 36.0|Field   | 25.0|12.18| 3.84|     |   |28.61|V99| 8.35|H11 | 0.39| 0.34| 0.02|3654| 0.09|-3.34
                       |      |      |       |         |                |00 38 00.02|+43 53 45.4|Field   | 35.0|13.07| 3.89|     |   |29.02|V99| 0.55|H11 | 0.36| 0.33| 0.02|3619| 0.09|-2.88
HD 3651                |      |      |       |         |00392187+2115024|00 39 21.81|+21 15 01.7|Field   | 11.0| 5.88| 1.95|K0   |G03|27.60|P03|48.00|P03 | 0.96| 0.87| 0.57|5222| 0.72|-5.75
                       |      |      |       |         |                |00 39 25.83|+38 16 18.8|Field   | 71.0|13.37| 3.58|     |   |28.94|V99| 3.08|H11 | 0.53| 0.45| 0.05|3847| 0.54|-3.36
V0523_Cas              |      |      |       |V0523 Cas|00400624+5014156|00 40 06.26|+50 14 15.5|Field   | 78.0|10.87| 2.38|     |   |29.73|V99| 0.23|X07 | 0.85| 0.77| 0.33|4837| 0.70|-3.38
                       |      |      |       |         |                |00 41 03.04|+34 59 29.9|Field   |169.0|14.09| 3.22|     |   |30.00|V99| 0.70|H11 | 0.69| 0.59| 0.12|4194| 0.65|-2.68
                       |      |      |       |         |                |00 41 41.41|+44 10 53.1|Field   | 13.0|14.25| 5.06|     |   |28.36|V99| 0.67|H11 | 0.13| 0.15| 0.00|3078| 0.00|-2.60
GJ 29.1                |      |      |29.1   |FF And   |                |00 42 48.21|+35 32 55.4|Field   | 23.0|10.44| 4.12|     |   |29.75|V99| 2.17|H11 | 0.69| 0.60| 0.13|4210| 0.65|-2.94
HD 4628                |  4628|      |       |         |00482303+0516497|00 48 22.98|+05 16 50.2|Field   |  7.5| 5.74| 2.73|K4   |B95|26.94|V99|38.50|D96 | 0.88| 0.79| 0.39|4954| 0.70|-6.11
                       |      |      |       |         |                |00 48 58.22|+44 35 09.1|Field   | 35.0|11.81| 3.57|     |   |29.47|V99| 1.30|H11 | 0.53| 0.45| 0.05|3851| 0.54|-2.84
                       |      |      |       |         |                |00 52 38.22|+44 12 02.2|Field   | 35.0|14.29| 4.24|     |   |28.48|V99| 0.87|H11 | 0.25| 0.24| 0.01|3422| 0.00|-3.07
                       |      |      |       |         |                |00 53 06.48|+48 29 38.5|Field   | 17.0|12.90| 4.32|     |   |28.36|V99| 5.53|H11 | 0.23| 0.23| 0.01|3380| 0.00|-3.14
                       |      |      |       |         |                |01 03 40.14|+40 51 28.9|Field   | 30.0|10.93| 3.60|     |   |29.65|V99| 0.25|H11 | 0.63| 0.53| 0.09|4036| 0.61|-2.89
HD 6963                |  6963|      |       |V0443 And|01104192+4255547|01 10 41.91|+42 55 54.6|Field   | 27.0| 7.66| 1.95|K0   |C18|28.14|V99|15.86|FEPS| 0.98| 0.89| 0.65|5317| 0.72|-5.18
HD 7661                |  7661|      |       |EW Cet   |01162417-1205493|01 16 24.20|-12 05 49.2|Field   | 26.0| 7.55| 1.95|K0   |C18|28.71|V99| 7.46|FEPS| 1.00| 0.91| 0.70|5384| 0.72|-4.66
HD 7590                |  7590|      |       |V0445 And|01162926+4256219|01 16 29.25|+42 56 21.9|Field   | 24.0| 6.59| 1.42|G0   |C18|28.93|V99| 5.67|S00 | 1.11| 1.05| 1.20|5727| 0.76|-4.65
HIP 6276               |      |      |       |         |01203226-1128035|01 20 32.27|-11 28 03.7|Field   | 35.0| 8.43| 1.88|     |   |28.96|V99| 6.40|FEPS| 0.94| 0.85| 0.54|5178| 0.70|-4.30
                       |      |      |       |         |                |01 21 47.09|+38 01 19.5|Field   | 16.0|14.58| 5.02|     |   |27.71|V99|18.20|H11 | 0.14| 0.15| 0.00|3091| 0.00|-3.28
HD 8907                |  8907|      |       |         |01283434+4216038|01 28 34.36|+42 16 03.7|Field   | 34.0| 6.66| 1.29|F8   |C18|29.55|V99| 3.13|FEPS| 1.26| 1.26| 2.32|6166| 0.88|-4.36
HD 9472                |  9472|      |       |         |01331902+2358321|01 33 19.03|+23 58 32.0|Field   | 33.0| 7.63| 1.42|G0   |C18|28.97|V99|11.10|FEPS| 1.05| 0.97| 0.91|5537| 0.76|-4.54
HD 10476               | 10476|  7981|       |         |01422977+2016073|01 42 29.76|+20 16 06.6|Field   |  7.5| 5.24| 2.03|K1   |B95|26.79|V99|35.20|D96 | 0.92| 0.83| 0.48|5098| 0.70|-6.44
                       |      |      |       |         |                |01 45 18.20|+46 32 07.8|Field   | 26.0|11.42| 4.22|     |   |29.57|V99| 4.12|H11 | 0.57| 0.48| 0.07|3918| 0.61|-2.84
                       |      |      |       |         |                |01 46 05.05|+41 30 49.4|Field   | 15.0|15.12| 5.36|     |   |28.27|V99| 3.39|H11 | 0.12| 0.14| 0.00|2985| 0.00|-2.58
HD 10780               | 10780|      |       |V0987 Cas|01474488+6351090|01 47 44.83|+63 51 09.0|Field   | 10.0| 5.63| 1.95|K0   |B95|28.34|V99|23.00|B96 | 0.96| 0.87| 0.58|5233| 0.72|-4.97
HD 11507               |      |      |       |         |01524908-2226055|01 52 49.17|-22 26 05.5|Field   | 11.0| 8.89| 3.73|K9   |G06|27.70|P03|15.80|P03 | 0.62| 0.53| 0.09|4026| 0.61|-4.83
2MASS J01562759+1224491|      |      |       |         |01562759+1224491|01 56 27.60|+12 24 46.1|Field   |124.0|10.35| 1.63|     |   |30.26|V99| 0.54|X07 | 1.09| 1.02| 1.07|5659| 0.76|-3.35
