age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
4.2559443,12.937948,0.43168348,0.0062473076,352.68073,-0.13106468,11.395268,9.628996,4.419725,0.98752797,1.299119,0.1,2.316512,1.0150359,12.209436,5976.966
4.237436,12.923123,0.4316936,0.0059011867,352.83197,-0.13100192,11.38562,9.627103,4.417477,0.9898898,1.3008897,0.099999994,2.3164577,1.0188752,12.196851,5984.542
2.1604574,12.956677,0.4319493,0.008566747,334.47452,-0.104596466,11.437029,9.334545,4.4554234,1.0246158,1.625479,0.10000001,2.3150866,0.99232155,12.235712,6010.1904
1.9445256,12.911619,0.4326434,0.00818887,332.67126,-0.071977496,11.401111,9.288814,4.449124,1.0435711,1.698878,0.1,2.3113723,1.0087318,12.193033,6022.3486
4.042208,12.929556,0.43166268,0.00803624,351.31512,-0.19085684,11.41781,9.606618,4.4277673,0.978613,1.3019392,0.10000001,2.3166237,1.0010778,12.216917,6023.452
4.253497,12.934536,0.4316764,0.0065266825,352.56027,-0.16230035,11.405501,9.628746,4.422179,0.98107123,1.2900983,0.10000001,2.3165503,1.0088611,12.213298,5997.71
1.2371068,12.972191,0.4320518,0.009294267,318.78064,0.03724438,11.408604,9.092406,4.460076,1.0710274,2.1619732,0.099999994,2.3145373,1.0090961,12.22484,5942.162
1.2206166,12.938604,0.43205017,0.009859845,318.9767,0.036615223,11.38841,9.086579,4.4559584,1.0770696,2.1727083,0.1,2.314546,1.0167922,12.197056,5961.37
1.2725607,13.037754,0.43198067,0.008389983,318.32907,0.035868943,11.448585,9.104678,4.468221,1.0586201,2.1326647,0.1,2.3149183,0.99380773,12.279502,5905.8853
0.35285956,12.86795,0.43249828,0.011756702,280.9237,0.034496635,11.364492,8.547602,4.46282,1.1065804,3.371554,0.1,2.3121479,1.0224686,12.145941,6028.391
0.37341216,12.999393,0.4325319,0.01034167,280.42545,0.0311099,11.444447,8.572188,4.478553,1.0810332,3.303296,0.1,2.311968,0.9926012,12.25547,5954.5625
1.0716996,12.927471,0.4283263,0.010188388,315.1653,0.089354694,11.356274,9.030072,4.454978,1.092166,2.3037531,0.1,2.3346686,1.0250988,12.173784,5932.2534
1.4962215,12.961405,0.43129537,0.008766865,325.005,0.082690835,11.37747,9.174995,4.450735,1.079478,1.9670104,0.1,2.3185966,1.0240579,12.202922,5914.2583
1.1389974,12.931587,0.43421477,0.009938946,316.76102,-0.03017357,11.415891,9.056522,4.4610295,1.065529,2.199397,0.1,2.3030078,1.0054097,12.20827,6012.031
0.7631975,12.873751,0.43369126,0.010898162,305.11713,-0.06474286,11.399791,8.882637,4.463937,1.0749514,2.5269759,0.1,2.3057876,1.0067096,12.169733,6076.0254
0.75574875,12.837009,0.43371865,0.01065748,305.41476,-0.07537979,11.381424,8.878377,4.460352,1.0794586,2.5306814,0.099999994,2.3056421,1.0130291,12.14142,6104.289
0.77052855,12.9024315,0.4336927,0.01067271,304.9415,-0.074685186,11.421122,8.886788,4.4684176,1.0673362,2.5134892,0.1,2.3057802,0.997942,12.195676,6065.45
1.6010408,12.92739,0.43271285,0.009392101,327.16953,-0.00048482418,11.390201,9.204402,4.450579,1.0631093,1.8577034,0.1,2.3110013,1.0163428,12.193799,5978.814
0.5805801,12.914323,0.4333484,0.011214135,295.99036,0.0038216412,11.401407,8.763862,4.4662538,1.0862184,2.8193417,0.1,2.3076122,1.0090817,12.190191,6014.5874
