age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
1.9739358,12.885913,0.43152,0.0076914867,333.1132,-0.13049713,11.404927,9.295333,4.4512897,1.0331514,1.6680952,0.099999994,2.3173897,1.0011244,12.182728,6068.72
1.968787,12.869051,0.4315557,0.007986838,333.39145,-0.13001174,11.394124,9.294199,4.4488626,1.0361654,1.669884,0.1,2.317198,1.0054146,12.168479,6077.857
2.207544,12.90694,0.4314512,0.007971903,335.71423,-0.1333847,11.414862,9.343909,4.45054,1.0248859,1.6031506,0.10000001,2.3177593,0.9979603,12.199236,6052.301
1.8461273,12.889091,0.4323526,0.00893749,331.4462,-0.095309675,11.397208,9.266261,4.4500456,1.0436219,1.7226515,0.10000001,2.312927,1.0077151,12.17954,6050.973
1.8770177,12.9170065,0.4323452,0.008805839,331.34744,-0.09752536,11.41513,9.273468,4.453675,1.0379423,1.7114844,0.1,2.3129666,1.0007874,12.20324,6036.264
1.7526892,12.910784,0.43229172,0.00805025,329.3713,-0.11917356,11.421957,9.243704,4.457118,1.0362206,1.7468228,0.10000001,2.3132527,0.99594647,12.20353,6056.514
1.4883265,12.995361,0.43218976,0.008385435,323.61084,0.007857382,11.430097,9.172698,4.4613,1.0553215,1.9260876,0.1,2.3137984,1.0002824,12.249138,5939.134
1.471079,12.949755,0.43219316,0.008977605,324.18597,0.0105576515,11.40109,9.167636,4.455219,1.0641241,1.9383924,0.10000001,2.31378,1.0115037,12.210521,5962.894
1.4469966,12.906428,0.43224058,0.009446245,324.5174,0.011011928,11.374503,9.160467,4.4496803,1.0721602,1.953749,0.099999994,2.3135264,1.0217851,12.174374,5986.9043
2.067984,12.867603,0.43147916,0.008800669,334.56586,-0.17102692,11.407003,9.315547,4.4507704,1.025393,1.6266649,0.099999994,2.317609,0.9980185,12.175128,6100.8633
2.003615,12.892979,0.43122318,0.007826774,333.54572,-0.11426458,11.402026,9.301814,4.450465,1.0348101,1.664985,0.099999994,2.3189847,1.0028572,12.184769,6053.0557
1.5872495,12.875658,0.4344198,0.008448059,327.15002,-0.18148664,11.431108,9.2006445,4.4596143,1.0328954,1.7895174,0.1,2.3019207,0.9914452,12.190223,6125.256
1.4884561,12.88491,0.43080106,0.008885389,324.74756,-0.15401205,11.421367,9.172736,4.462536,1.036423,1.8519526,0.1,2.321257,0.98992807,12.189957,6095.8115
1.7125674,12.926275,0.42953944,0.008831805,327.92776,-0.13617161,11.43389,9.233647,4.4634976,1.0282947,1.7561071,0.1,2.328075,0.98490024,12.218198,6051.8643
1.5440843,12.8967495,0.42931092,0.0082683405,325.40164,-0.15774614,11.426424,9.188671,4.464569,1.0312431,1.8210568,0.099999994,2.329314,0.98510516,12.199057,6085.631
1.5393194,12.881308,0.4293484,0.008360548,325.5825,-0.16527805,11.419789,9.187328,4.4632154,1.0322913,1.8202882,0.1,2.3291106,0.98715246,12.187765,6099.2305
2.168515,12.883549,0.43218306,0.008074047,336.13254,-0.08883536,11.384562,9.336163,4.4430118,1.0400229,1.6288838,0.1,2.3138344,1.014114,12.170875,6040.2964
1.829528,12.921569,0.43180114,0.008542336,330.4843,-0.107221365,11.421705,9.262339,4.4564643,1.0353628,1.7237725,0.1,2.3158808,0.9963208,12.209059,6039.5176
2.345241,12.886243,0.43107158,0.008583487,337.88968,-0.14429101,11.40244,9.370188,4.4463344,1.0231087,1.5672098,0.1,2.3198004,1.0020056,12.182709,6064.9683
2.3860295,12.946557,0.43108606,0.008042948,337.19934,-0.143177,11.439928,9.377675,4.454404,1.013167,1.5586061,0.1,2.3197224,0.9879539,12.233078,6030.6562
1.8064476,12.970614,0.42813382,0.007859655,328.59863,-0.11979002,11.450981,9.256825,4.46746,1.0217988,1.7268742,0.1,2.3357184,0.97728467,12.250079,6010.751
1.9049274,12.896687,0.4319445,0.00853687,332.34296,-0.061889708,11.387163,9.279879,4.4472113,1.0484872,1.7155254,0.1,2.3151124,1.0133727,12.178059,6023.3184
1.6072483,12.958209,0.43339002,0.008516649,326.40106,-0.06569871,11.435799,9.206083,4.4603877,1.0437434,1.8283195,0.10000001,2.3073905,0.9957931,12.233929,6004.255
1.8264884,12.913013,0.4344688,0.009001414,331.17307,-0.05075863,11.399414,9.261617,4.448088,1.051735,1.7461792,0.1,2.301661,1.0138687,12.192053,6016.451
1.9194101,12.92458,0.4341198,0.008391947,332.34787,-0.045942187,11.402389,9.283168,4.44788,1.0489821,1.7166634,0.099999994,2.3035116,1.0128193,12.199762,6003.8203
2.8815672,12.838937,0.43251553,0.0072360747,343.70096,-0.22662991,11.395769,9.459629,4.436076,1.0037305,1.4376895,0.099999994,2.3120556,1.0042396,12.157066,6128.7104
1.6736141,12.984221,0.43136412,0.0084014805,326.86362,-0.056523323,11.443334,9.223655,4.463294,1.0386704,1.8035661,0.099999994,2.318227,0.99011123,12.251605,5976.992
1.6404523,12.887664,0.4312587,0.009143124,328.14468,-0.053961545,11.382318,9.214963,4.4503937,1.0560004,1.8186941,0.10000001,2.3187938,1.013267,12.170286,6028.855
2.1907027,12.887703,0.43166608,0.007772126,336.00015,-0.12417436,11.399655,9.340583,4.4469824,1.0305508,1.6107054,0.1,2.3166056,1.0048376,12.181341,6058.068
1.7256888,12.930012,0.4327489,0.008674875,329.17282,-0.026241183,11.399392,9.236962,4.451149,1.0547808,1.7938105,0.1,2.310809,1.0117925,12.200523,5990.3
1.8015603,12.917131,0.4327598,0.00907396,330.7468,-0.020634472,11.387755,9.255648,4.4475017,1.0567703,1.7663219,0.099999994,2.3107507,1.0169241,12.187969,5991.472
1.7484099,12.912231,0.43302256,0.008067121,329.32336,-0.121412486,11.425163,9.242643,4.4570894,1.036177,1.7476392,0.1,2.3093486,0.9959654,12.205837,6059.252
1.8910793,12.893406,0.4337597,0.008637559,332.19675,-0.08747843,11.398601,9.276709,4.4481106,1.0450404,1.7105803,0.1,2.305424,1.0106564,12.182282,6046.4033
2.0166032,12.87419,0.43145394,0.007957496,333.89926,-0.15120396,11.404547,9.30462,4.4508348,1.0295832,1.6479439,0.10000001,2.3177445,0.9999165,12.1768675,6086.4185
1.8895705,12.855037,0.431664,0.008694583,332.54837,-0.11362666,11.380518,9.276362,4.4466114,1.0438163,1.7013328,0.099999994,2.3166168,1.0118203,12.153877,6077.954
1.769925,12.912315,0.43204027,0.008064034,329.7128,-0.108599216,11.418083,9.247954,4.456229,1.0377558,1.7441449,0.10000001,2.314599,0.9976611,12.202257,6047.9023
2.1632445,12.906807,0.4300277,0.0085683465,335.18228,-0.11096975,11.404233,9.335105,4.45019,1.0295966,1.6225047,0.1,2.3254316,1.0007021,12.193537,6035.875
1.5481362,12.959257,0.43261495,0.008513904,325.25793,-0.0483281,11.429315,9.189809,4.4604187,1.0479034,1.8655292,0.1,2.3115244,0.9977779,12.230914,5992.5596
1.9313118,12.8940525,0.431004,0.008281453,332.4463,-0.09898797,11.397667,9.285852,4.4505706,1.0392959,1.693189,0.10000001,2.3201642,1.0050021,12.182776,6044.589
1.8924397,12.948755,0.43102986,0.008745194,330.81882,-0.10226786,11.434296,9.277022,4.4592657,1.030287,1.7046218,0.1,2.3200247,0.99069333,12.229751,6017.754
1.5872325,12.896687,0.43197837,0.008106659,326.57385,-0.16110381,11.431961,9.20064,4.4622984,1.0318613,1.7979031,0.099999994,2.3149307,0.98789644,12.20159,6093.918
1.5952616,12.891808,0.43197832,0.008403374,326.8345,-0.16205359,11.429082,9.202831,4.4615602,1.0323417,1.7940888,0.1,2.3149312,0.98898506,12.197629,6097.0015
1.5346556,12.885821,0.4279793,0.008407112,325.34344,-0.1511403,11.414654,9.18601,4.4635305,1.0336158,1.8287812,0.10000001,2.3365617,0.98743445,12.187469,6084.1963
1.5464821,12.91774,0.42797962,0.008236408,324.92728,-0.14958695,11.43388,9.189344,4.4675565,1.0283461,1.8232994,0.1,2.3365598,0.98032403,12.213816,6064.939
1.6413255,12.916959,0.43406522,0.008989764,327.51135,-0.12416935,11.43312,9.215194,4.459136,1.0376341,1.7900379,0.1,2.3038013,0.9943744,12.212006,6064.1133
2.2101004,12.867559,0.4327857,0.007737784,337.00766,-0.1002326,11.379034,9.344412,4.4405503,1.039736,1.6140316,0.10000001,2.3106124,1.0167979,12.159954,6056.246
