age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
2.8254023,8.966585,0.13298362,0.0059054196,374.76306,-0.003140211,7.716166,9.45108,4.1245637,1.2992722,1.518862,0.10000001,7.5197225,1.6354419,8.359913,6414.663
3.4336305,9.057608,0.13291793,0.007431171,390.21548,-0.05452445,7.7262335,9.535753,4.102447,1.2534771,1.4127679,0.10000001,7.52344,1.6502045,8.419956,6291.9277
3.4445772,9.061848,0.1329285,0.007393862,390.31784,-0.056452334,7.7303896,9.537136,4.103403,1.2517437,1.4107487,0.1,7.522841,1.6471853,8.424295,6292.1055
3.457918,9.028262,0.13261,0.0059026824,391.7774,-0.07279271,7.695834,9.538814,4.091857,1.2532686,1.403953,0.099999994,7.54091,1.6704412,8.3908615,6291.997
3.9447713,9.155632,0.13106592,0.0043967026,397.8638,0.0074813366,7.7231784,9.596022,4.0966945,1.2366875,1.3716339,0.1,7.629749,1.6480803,8.471069,6128.63
2.5854928,8.942462,0.13437632,0.0070604007,369.17493,0.034063727,7.711933,9.412542,4.1264687,1.3291007,1.5776875,0.1,7.4417877,1.6514326,8.342104,6446.4683
3.4475753,9.044157,0.13473132,0.0052875048,392.52,-0.09607017,7.7231526,9.537514,4.0889335,1.2502326,1.3980551,0.1,7.422179,1.6745719,8.412884,6312.618
3.0253856,8.996207,0.13381028,0.0062925513,381.03796,-0.04805255,7.729955,9.480781,4.1150346,1.2794459,1.4723011,0.099999994,7.473267,1.6431535,8.385722,6395.651
3.18321,9.024881,0.1333981,0.005121299,383.9536,-0.022571027,7.7175946,9.502865,4.1073165,1.2763066,1.456672,0.10000001,7.496359,1.6548525,8.3951435,6325.5547
4.0917044,9.184885,0.13453661,0.0065776063,402.54095,0.0010888278,7.73877,9.611903,4.0777836,1.2346087,1.3544128,0.10000001,7.4329214,1.6839848,8.494472,6107.011
4.1251082,9.132873,0.13447763,0.002363379,405.37515,0.00041657686,7.6954374,9.615435,4.063236,1.2386086,1.3508677,0.10000001,7.436181,1.7147769,8.446116,6119.7324
4.3183637,8.959955,0.13353585,0.0009768694,424.27393,-0.22099647,7.734339,9.635319,4.0769463,1.1574309,1.2667092,0.1,7.4886255,1.6314065,8.377992,6478.305
4.5249043,9.108399,0.13372472,0.0005336856,416.93433,-0.040379286,7.7366314,9.655609,4.0757847,1.1945407,1.3012469,0.1,7.4780493,1.6603876,8.452651,6225.7827
4.4643807,9.004093,0.13572162,0.00072171923,427.88412,-0.17287594,7.7389975,9.649761,4.0627766,1.1631907,1.2676344,0.1,7.3680224,1.6621033,8.402358,6407.8076
4.2174544,8.962206,0.13568886,0.0007673048,421.45258,-0.1550768,7.7128587,9.625051,4.063209,1.1864442,1.2956463,0.1,7.369802,1.6795125,8.366051,6432.935
3.873357,9.134822,0.1356901,0.0056724753,401.5797,-0.050597876,7.7429624,9.588087,4.0778313,1.2358174,1.3618448,0.099999994,7.369735,1.688489,8.470606,6197.1694
3.8597965,9.104052,0.13568641,0.006522026,402.19208,-0.05069658,7.7137623,9.586564,4.068264,1.241202,1.3633139,0.099999994,7.369935,1.7101884,8.440409,6198.8916
3.8124573,9.042732,0.13495283,0.010428039,402.82806,-0.14484069,7.7187605,9.581205,4.0737534,1.2194643,1.3400365,0.10000001,7.409997,1.6833645,8.412972,6310.882
3.0627604,8.986061,0.13631351,0.0048199585,385.3681,-0.10090959,7.7323995,9.486113,4.098845,1.2743399,1.4496987,0.10000001,7.33603,1.6709735,8.383713,6421.8057
3.4998622,9.07605,0.13361457,0.007933689,391.00278,-0.0061594844,7.7036734,9.544051,4.089391,1.2663898,1.4192116,0.10000001,7.4842134,1.6818064,8.417817,6220.657
3.1226652,9.01057,0.13484155,0.0045361165,383.5153,-0.019284874,7.7080774,9.494525,4.098504,1.2871375,1.4666023,0.10000001,7.416112,1.6781371,8.382478,6332.166
3.0370438,9.02332,0.13251822,0.008659814,379.57895,-0.029460639,7.7514467,9.4824505,4.1295595,1.273336,1.4764314,0.1,7.5461326,1.6118096,8.409899,6385.075
3.213663,9.037477,0.13251701,0.0058638705,384.03064,-0.015717,7.7238812,9.507,4.113328,1.2717707,1.4545662,0.10000001,7.5462008,1.6414425,8.404793,6314.847
